state_name_crime,district_name,total_crimes,Ranking,state_name_pop,Population,Growth,Sex-Ratio,Literacy,crime_rate_per_capita,safety_score
Gujarat,Mahesana,4141.0,226.0,Gujarat,2035064.0,10.73 %,926.0,83.61,203.48254403792706,98.04748056060802
Gujarat,Narmada,571.0,528.0,Gujarat,590297.0,14.75 %,961.0,72.31,96.73096763154818,99.07181672224134
Gujarat,Navsari,2222.0,366.0,Gujarat,1329672.0,8.15 %,961.0,83.88,167.10888098719082,98.39650452492026
Gujarat,Patan,2191.0,360.0,Gujarat,1343734.0,13.61 %,935.0,72.3,163.05310426021816,98.43542178408217
Gujarat,Porbandar,1005.0,529.0,Gujarat,585449.0,9.06 %,950.0,75.78,171.66311668480088,98.3528042961208
Gujarat,Rajkot,2916.0,67.0,Gujarat,3804558.0,20.02 %,927.0,80.96,76.6449085544234,99.2645527674598
Gujarat,Rajkot,2751.0,67.0,Gujarat,3804558.0,20.02 %,927.0,80.96,72.30800529259903,99.30616758000066
Gujarat,Surat,21295.0,12.0,Gujarat,6081322.0,42.24 %,787.0,85.53,350.1705714645598,96.63993365563529
Gujarat,Surat,2938.0,12.0,Gujarat,6081322.0,42.24 %,787.0,85.53,48.31186376909495,99.53642287298692
Gujarat,Surendranagar,2109.0,274.0,Gujarat,1756268.0,15.91 %,930.0,72.13,120.08417849667592,98.84773067888088
Gujarat,Tapi,739.0,484.0,Gujarat,807022.0,12.14 %,1007.0,68.26,91.57123349797156,99.12132701928198
Gujarat,Vadodara,7157.0,48.0,Gujarat,4165626.0,14.38 %,934.0,78.92,171.81091149325454,98.35138612908385
Gujarat,Vadodara,3602.0,48.0,Gujarat,4165626.0,14.38 %,934.0,78.92,86.46959664645843,99.1702798430851
Gujarat,Valsad,2636.0,286.0,Gujarat,1705678.0,20.92 %,922.0,78.55,154.54265107482186,98.51708395004871
Haryana,Ambala,3188.0,410.0,Haryana,1128350.0,11.23 %,885.0,81.75,282.5364470244162,97.28891779017128
Haryana,Bhiwani,3077.0,305.0,Haryana,1634445.0,14.70 %,886.0,75.21,188.25962329720485,98.19355229767577
Haryana,Faridabad,10426.0,263.0,Haryana,1809733.0,32.54 %,873.0,81.7,576.1070831995659,94.47195687258117
Haryana,Fatehabad,2198.0,461.0,Haryana,942011.0,16.85 %,902.0,67.92,233.33060866592854,97.7610730621666
Haryana,Ambala,1639.0,410.0,Haryana,1128350.0,11.23 %,885.0,81.75,145.2563477644348,98.60619079613888
Haryana,Jhajjar,3600.0,454.0,Haryana,958405.0,8.90 %,862.0,80.65,375.6240837641707,96.39569414211452
Haryana,Jind,4264.0,364.0,Haryana,1334152.0,12.13 %,871.0,71.44,319.60376328934035,96.9332378672789
Haryana,Kaithal,2586.0,423.0,Haryana,1074304.0,13.55 %,881.0,69.15,240.71398784701537,97.69022574969745
Haryana,Karnal,5427.0,334.0,Haryana,1505324.0,18.14 %,887.0,74.73,360.5203929519492,96.54062180682826
Haryana,Kurukshetra,3080.0,452.0,Haryana,964655.0,16.86 %,888.0,76.31,319.2851330268334,96.936295288172
Haryana,Palwal,3771.0,434.0,Haryana,1042708.0,25.76 %,880.0,69.32,361.6544612681594,96.52973983931862
